ccf-rank,abbreviation,ccf-name,publisher,url
CCF-A,TOCS,ACM Transactions on Computer Systems,ACM,http://dblp.uni-trier.de/db/journals/tocs/
CCF-A,TOS,ACM Transactions on Storage,ACM,http://dblp.uni-trier.de/db/journals/tos/
CCF-A,TCAD,IEEE Transactions on Computer-Aided Design of Integrated Circuits And System,IEEE,http://dblp.uni-trier.de/db/journals/tcad/
CCF-A,TC,IEEE Transactions on Computers,IEEE,http://dblp.uni-trier.de/db/journals/tc/index.html
CCF-A,TPDS,IEEE Transactions on Parallel and Distributed Systems,IEEE,http://dblp.uni-trier.de/db/journals/tpds/
CCF-A,TACO,ACM Transactions on Architecture and Code Optimization,ACM,http://dblp.uni-trier.de/db/journals/taco/
CCF-B,TAAS,ACM Transactions on Autonomous and Adaptive Systems,ACM,http://dblp.uni-trier.de/db/journals/taas/
CCF-B,TODAES,ACM Transactions on Design Automation of Electronic Systems,ACM,http://dblp.uni-trier.de/db/journals/todaes/
CCF-B,TECS,ACM Transactions on Embedded Computing Systems,ACM,http://dblp.uni-trier.de/db/journals/tecs/
CCF-B,TRETS,ACM Transactions on Reconfigurable Technology and Systems,ACM,http://dblp.uni-trier.de/db/journals/trets/
CCF-B,TVLSI,IEEE Transactions on Very Large Scale Integration (VLSI) Systems,IEEE,http://dblp.uni-trier.de/db/journals/tvlsi/
CCF-B,JPDC,Journal of Parallel and Distributed Computing,Elsevier,http://dblp.uni-trier.de/db/journals/jpdc/
CCF-B,JSA,Journal of Systems Architecture: Embedded Software Design,Elsevier,http://dblp.uni-trier.de/db/journals/jsa/
CCF-B,,Parallel Computing,Elsevier,https://dblp.uni-trier.de/db/journals/pc/index.html
CCF-B,,Performance Evaluation: An International Journal,Elsevier,https://dblp.uni-trier.de/db/journals/pe/index.html
CCF-C,JETC,ACM Journal on Emerging Technologies in Computing Systems,ACM,http://dblp.uni-trier.de/db/journals/jetc/
CCF-C,,Concurrency and Computation: Practice and Experience,Wiley,http://dblp.uni-trier.de/db/journals/concurrency/
CCF-C,DC,Distributed Computing,Springer,http://dblp.uni-trier.de/db/journals/dc/
CCF-C,FGCS,Future Generation Computer Systems,Elsevier,http://dblp.uni-trier.de/db/journals/fgcs/
CCF-C,TCC,IEEE Transactions on Cloud Computing,IEEE,https://dblp.uni-trier.de/db/journals/tcc/
CCF-C,Integration,"Integration, the VLSI Journal",Elsevier,http://dblp.uni-trier.de/db/journals/integration/
CCF-C,JETTA,Journal of Electronic Testing-Theory and Applications,Springer,https://dblp.uni-trier.de/db/journals/et/index.html
CCF-C,JGC,Journal of Grid computing,Springer,https://dblp.uni-trier.de/db/journals/grid/
CCF-C,RTS,Real-Time Systems,Springer,http://dblp.uni-trier.de/db/journals/rts/
CCF-C,TJSC,The Journal of Supercomputing,Springer,http://dblp.uni-trier.de/db/journals/tjs/
CCF-C,TCASI,IEEE Transactions on Circuits and Systems I: Regular Papers,IEEE,https://dblp.uni-trier.de/db/journals/tcasI/index.html
CCF-C,CCF-THPC,CCF Transactions on High Performance Computing,CCF,https://dblp.uni-trier.de/db/journals/ccfthpc/index.html
CCF-C,TSUSC,IEEE Transactions on Sustainable Computing,IEEE,https://dblp.uni-trier.de/db/journals/tsusc/index.html
CCF-A,PPoPP,ACM SIGPLAN Symposium on Principles & Practice of Parallel Programming,ACM,http://dblp.uni-trier.de/db/conf/ppopp/
CCF-A,FAST,Conference on File and Storage Technologies,USENIX,http://dblp.uni-trier.de/db/conf/fast/
CCF-A,DAC,Design Automation Conference,ACM,https://dblp.uni-trier.de/db/conf/dac/
CCF-A,HPCA,High Performance Computer Architecture,IEEE,http://dblp.uni-trier.de/db/conf/hpca/
CCF-A,MICRO,IEEE/ACM International Symposium on Microarchitecture,IEEE/ACM,https://dblp.uni-trier.de/db/conf/micro/
CCF-A,SC,"International Conference for High Performance Computing, Networking, Storage, and Analysis",IEEE,http://dblp.uni-trier.de/db/conf/sc/
CCF-A,ASPLOS,International Conference on Architectural Support for Programming Languages and Operating Systems,ACM,http://dblp.uni-trier.de/db/conf/asplos/
CCF-A,ISCA,International Symposium on Computer Architecture,ACM /IEEE,http://dblp.uni-trier.de/db/conf/isca/
CCF-A,USENIX ATC,USENIX Annual Technical Conference,USENIX,http://dblp.uni-trier.de/db/conf/usenix/index.html
CCF-A,EuroSys,European Conference on Computer Systems,ACM,http://dblp.uni-trier.de/db/conf/eurosys/
CCF-B,SoCC,ACM Symposium on Cloud Computing,ACM,http://dblp.uni-trier.de/db/conf/cloud/
CCF-B,SPAA,ACM Symposium on Parallelism in Algorithms and Architectures,ACM,http://dblp.uni-trier.de/db/conf/spaa/
